group,k1,k2_min,k2_probs,dc,ekz_I,lecture_test,k3,k4,auditorka,ekz_final
БЭК174,16,30,0,10,19,10,31,80,10,5
БЭК174,3,10,0,10,10,,10,21,7,6
БЭК174,0,0,0,0,3,,0,0,,1
БЭК174,5,29,0,10,13,0,5,22,7,3
БЭК174,36,40,42,10,23,,66,80,10,5
БЭК174,0,18,0,10,13,,8,15,7,7
БЭК174,0,26,0,10,13,0,13,11,8,7
БЭК174,22,40,27,10,23,0,63,57,10,4
БЭК174,15,25,0,10,8,0,30,43,8,1
БЭК174,25,40,20,10,15,4,56,86,10,5
БЭК175,14,40,34,5,18,0,75,67,10,3
БЭК175,36,40,30,10,21,0,70,97,10,7
БЭК175,23,40,30,10,16,,67,59,10,2
БЭК175,25,18,0,5,16,,0,0,,неявка
БЭК175,22,37,13,10,11,10,58,70,10,1
БЭК175,10,29,0,5,14,0,18,15,8,2
БЭК175,0,30,0,5,7,6,52,31,10,2
БЭК175,26,35,42,10,25,10,81,90,10,7
БЭК175,11,5,0,1,22,,10,12,7,6
БЭК175,28,40,21,10,12,10,73,55,10,1
БЭК175,33,40,27,10,21,10,85,88,10,7
БЭК175,20,40,22,0,20,5,75,64,10,2
БЭК175,9,39,8,10,12,,20,36,9,4
БЭК175,30,40,35,10,24,4,77,97,10,6
БЭК175,26,40,17,10,#N/A,8,81,88,10,5
БЭК175,23,40,16,0,17,,27,0,9,3
БЭК175,15,40,13,10,16,6,20,35,9,5
БЭК175,28,40,34,10,22,4,81,91,10,4
БЭК175,26,40,31,10,19,,81,99,10,7
БЭК175,13,40,12,10,11,0,29,31,10,4
БЭК175,0,0,0,10,10,,9,15,7,2
БЭК175,0,18,0,10,#N/A,0,0,0,,неявка
БЭК175,16,40,4,10,16,6,58,58,7,5
БЭК175,23,40,24,10,18,8,63,39,10,3
БЭК175,0,22,0,10,19,0,57,10,10,3
БЭК175,0,41,3,10,17,10,66,79,10,3
БЭК176,14,40,18,10,21,0,49,61,5,5
БЭК176,36,40,33,10,23,0,84,84,10,7
БЭК176,,,0,0,#N/A,,0,0,,4
БЭК176,16,40,16,10,18,10,55,69,5,2
БЭК176,2,35,0,10,17,0,45,11,5,4
БЭК176,13,40,24,10,18,4,68,68,5,3
БЭК176,17,40,18,10,15,0,67,72,10,2
БЭК176,16,40,0,10,16,0,47,31,5,3
БЭК176,,40,1,10,14,10,39,36,5,3
БЭК176,19,40,18,10,17,0,59,66,10,2
БЭК176,14,40,12,10,22,6,51,53,5,4
БЭК176,12,40,15,9,12,9,52,42,5,2
БЭК176,12,40,9,10,13,0,26,63,5,4
БЭК176,,23,0,10,7,,15,34,10,2
БЭК176,22,40,7,10,22,,68,88,5,4
БЭК176,10,40,23,10,13,3,58,77,10,5
БЭК176,12,40,18,10,16,8,63,62,8,4
БЭК176,19,40,32,10,14,,56,72,5,3
БЭК176,30,40,26,10,17,0,58,30,5,1
БЭК176,36,40,48,10,#N/A,0,91,98,10,8
БЭК176,17,40,0,10,16,4,11,36,10,2
БЭК176,22,40,36,5,24,4,64,11,5,2
БЭК176,25,40,30,10,21,4,88,77,10,5
БЭК176,16,40,18,10,15,,59,80,10,2
БЭК176,4,34,0,10,14,0,21,22,9,2
БЭК176,19,40,17,10,12,4,69,27,9,4
БЭК177,13,40,21,10,16,6,68,77,10,3
БЭК177,19,40,37,10,18,6,90,80,8,6
БЭК177,0,40,0,5,17,,10,0,,5
БЭК177,16,40,26,10,25,4,31,49,5,3
БЭК177,16,40,9,10,16,,49,59,5,1
БЭК177,9,40,13,10,14,,35,63,5,4
БЭК177,16,40,24,10,16,8,57,9,6,2
БЭК177,13,35,7,10,13,,25,27,5,2
БЭК177,10,40,5,5,9,10,46,6,5,2
БЭК177,11,20,0,10,13,2,14,28,10,2
БЭК177,26,40,26,10,19,,62,74,5,4
БЭК177,14,40,0,10,9,10,45,38,8,1
БЭК177,29,40,37,10,24,10,98,96,10,7
БЭК177,31,40,29,10,19,4,73,59,5,2
БЭК177,24,40,19,10,21,2,49,81,5,3
БЭК177,20,40,31,10,13,8,67,47,10,3
БЭК177,,20,0,5,12,,7,0,,2
БЭК177,,0,0,10,#N/A,,0,0,,неявка
БЭК177,11,40,20,10,21,10,48,46,8,4
БЭК177,21,40,32,10,23,10,71,85,10,7
БЭК177,32,40,34,5,18,,20,30,8,3
БЭК177,9,39,12,10,16,,50,50,5,5
БЭК177,20,40,19,10,19,4,63,68,5,3
БЭК177,24,35,30,10,25,10,77,69,10,4
БЭК177,0,15,0,10,5,,0,0,,неявка
БЭК178,17,25,0,10,22,8,58,44,9,2
БЭК178,12,38,11,10,14,4,50,47,9,7
БЭК178,20,40,28,0,#N/A,6,30,61,5,2
БЭК178,12,30,0,5,14,7,25,26,,6
БЭК178,0,15,0,10,10,7,18,24,8,7
БЭК178,3,15,0,10,13,2,1,30,8,6
БЭК178,0,40,15,10,21,,30,70,8,5
БЭК178,18,40,31,10,19,10,88,69,9,2
БЭК178,16,25,0,10,16,9,35,86,9,3
БЭК178,10,40,10,10,12,,29,71,7,1
БЭК178,0,20,0,10,17,,24,32,6,3
БЭК178,19,40,19,10,19,7,48,57,9,6
БЭК178,21,40,25,10,20,10,68,82,9,2
БЭК178,22,40,25,10,20,10,77,55,10,7
БЭК178,9,30,0,10,15,10,67,71,9,3
БЭК178,13,35,27,10,19,7,30,58,8,4
БЭК178,0,30,0,10,18,4,19,53,9,4
БЭК178,0,20,0,10,10,,25,0,7,неявка
БЭК178,7,40,23,10,16,,53,40,7,3
БЭК178,21,39,21,10,18,10,64,80,10,3
БЭК178,0,30,0,10,18,,0,32,,1
БЭК178,21,38,23,10,18,10,59,35,10,3
БЭК178,14,40,0,10,20,2,31,0,10,1
БЭК178,10,40,18,10,17,7,20,52,9,3
БЭК178,11,40,21,10,12,10,55,62,9,5
БЭК178,24,20,0,10,22,7,30,66,10,6
БЭК178,36,40,28,10,28,10,87,97,10,5
БЭК178,12,10,0,5,13,,19,43,8,2
БЭК178,13,40,21,10,20,10,55,50,8,5
БЭК179,16,40,22,10,26,10,62,61,10,7
БЭК179,8,40,10,10,12,10,59,73,9,1
БЭК179,13,40,17,10,11,4,29,85,10,3
БЭК179,19,40,18,10,13,9,71,62,10,4
БЭК179,47,40,40,10,#N/A,10,74,92,10,7
БЭК179,32,40,40,10,21,10,81,79,10,3
БЭК179,14,24,0,10,12,10,52,20,8,4
БЭК179,17,,0,5,10,7,52,55,8,5
БЭК179,12,40,19,6,12,,30,71,10,4
БЭК179,17,40,6,10,7,2,26,37,8,4
БЭК179,0,10,0,0,19,,10,0,,1
БЭК179,10,40,9,10,11,,45,71,10,1
БЭК179,17,40,26,10,20,,20,83,10,2
БЭК179,6,35,18,10,14,7,19,30,10,4
БЭК179,14,40,11,10,0,10,71,75,9,4
БЭК179,19,40,16,10,16,10,62,79,9,4
БЭК179,14,40,10,10,4,4,26,38,9,3
БЭК179,1,20,0,0,18,7,23,18,10,3
БЭК179,30,40,37,10,20,10,72,93,10,5
БЭК179,0,40,0,10,8,,24,41,10,2
БЭК179,15,,0,0,9,,0,0,,неявка
БЭК179,13,15,0,10,15,10,65,50,10,5
БЭК179,0,25,0,10,14,10,0,0,,2
БЭК179,0,29,0,5,5,,10,3,10,1
БЭК179,28,40,25,10,19,7,14,58,10,6
БЭК177,25,35,21,10,#N/A,,71,20,10,4
БЭК165,0,40,0,10,9,,0,0,,неявка
БЭК176,0,33,0,10,9,6,5,0,5,1
БЭК166,15,24,0,10,11,,0,0,,неявка
БЭК165,17,14,0,10,10,,0,0,,неявка
БЭК176,17,,0,0,#N/A,,0,0,,неявка
БЭК168,10,40,6,10,9,,0,0,,неявка
NA,0,10,0,0,11,,0,0,,неявка
NA,18,40,27,10,20,,0,0,,неявка
NA,12,35,6,10,9,4,6,16,,4
БЭК164,10,40,0,10,12,,0,0,,неявка
БЭК164,6,40,10.5,0,14,,15,35,2.1,3
БЭК164,18,40,23,10,20,,0,0,,неявка
БЭК169,5,25,0,5,12,,0,0,,неявка
БЭК168,,35,13,0,#N/A,,0,0,,неявка
БЭК164,,15,0,0,8,,0,0,,неявка
БЭК153,,20,0,0,#N/A,,0,0,,неявка
БЭК174,,40,0,10,13,10,10,0,,2
БЭК174,,0,0,0,7,,0,0,,1
NA,,0,0,0,#N/A,,0,0,,неявка
БЭК168,,15,0,10,11,,0,0,,неявка
БЭК169,,35,20,0,10,,0,0,,неявка
БЭК175,,20,0,10,6,4,14,11,,1
NA,,,0,0,#N/A,,0,0,,неявка
NA,,,0,1,#N/A,,0,0,,неявка
NA,,,0,5,#N/A,,0,0,,неявка
БЭК176,,5,,0,#N/A,,0,0,,неявка
NA,,,,,#N/A,8,70,81,9,6
БЭК176,,,,,,0,21,59,10,3
БЭК176,,,,,,10,10,60,6,3
БЭК1710,,,,,,10,39,23,8.6,2
БЭК1712,,,,,,7,15,18.5,6.1,6
БЭК177,,,,,,9,15,0,,1
БЭК179,,,,,,0,15,0,,неявка
БЭК178,,,,,,,15,20,,1
NA,,,,,,,15,5,10,7
NA,,,,,,,,10,,1
,,,,,,,,,,1
